date,strategy,benchmark
2011-03-01,1144.1919168550469,1181.4054215236727
2011-03-02,1155.6859916133178,1184.7611653877593
2011-03-03,1174.951681852566,1205.092763934921
2011-03-04,1167.6842926658744,1196.210001118205
2011-03-07,1146.6043997136906,1185.748122300731
2011-03-08,1142.2132723578145,1196.8022355059763
2011-03-09,1138.957414264044,1195.4204807678188
2011-03-10,1113.1667824710833,1173.5096909199137
2011-03-11,1116.5921990393144,1181.4054215236727
2011-03-14,1106.056714314332,1174.4966478328854
2011-03-15,1108.85813477581,1161.4686208016965
2011-03-16,1084.2721015295965,1139.360469691191
2011-03-17,1101.040261372159,1153.5728148979515
2011-03-18,1094.4036194089,1158.5076747627957
2011-03-21,1123.3892841544875,1176.0758391336285
2011-03-22,1114.3535962721996,1171.9304996191704
2011-03-23,1122.075684077172,1175.6810413084427
