date,strategy,benchmark
2019-07-25,1017279.1036474808,271821.95468973956
2019-07-26,1026278.3879224808,273766.29068128794
2019-07-29,1034557.7129772991,273272.8046948035
2019-07-30,1039957.2698104811,272611.52022011694
2019-07-31,1062275.5250224806,269522.29312552547
2019-08-01,1093233.0848993897,267262.14899382275
2019-08-02,1093592.99585039,265307.9336441466
2019-08-05,1030957.9855354811,257481.2531273025
2019-08-06,1056515.9885792078,260797.46449888046
2019-08-07,1117351.169502753,260975.1423452105
2019-08-08,1136789.5878340262,266067.8912201346
2019-08-09,1109071.7757888446,264212.40921174845
2019-08-12,1091433.1868489354,261113.30275902912
2019-08-13,1091073.2072388446,265159.8938722001
2019-08-14,1047156.7246941172,257175.29422528174
2019-08-15,1041037.2086407536,257984.6184719148
2019-08-16,1073074.6386888446,261764.70787558786
2019-08-19,1104032.1985657534,264982.24614586437
2019-08-20,1114471.3326220266,262929.32757489244
2019-08-21,1141829.1650571174,265061.1906509044
2019-08-22,1115551.271452299,264962.48742960865
2019-08-23,1081713.9433537538,258162.26619825055
2019-08-26,1107271.9463974808,261024.47889586125
2019-08-27,1092513.125679208,259998.01961037528
2019-08-28,1097912.68251239,261804.19518810502
2019-08-29,1099352.600952753,265209.2304228508
2019-08-30,1099712.5119037537,265100.6779634215
2019-09-03,1071274.8092974806,263630.06924210186
2019-09-04,1093952.975460481,266452.8247471897
2019-09-05,1084233.8006243897,269976.32191948703
2019-09-06,1070554.850077299,270173.6982420842
2019-09-09,1053636.2203575715,270242.7935089906
2019-09-10,1046076.7858638447,270302.0094177692
2019-09-11,1073434.6182989355,272246.3454093175
2019-09-12,1056515.9885792078,273045.79029782274
2019-09-13,1065155.2932441172,272976.6950309163
2019-09-16,1086393.6096258443,272078.5770411097
2019-09-17,1122750.726335935,272818.80602083623
2019-09-18,1121670.7875056625,272986.57438904414
2019-09-19,1154068.265822935,272927.3584802656
2019-09-20,1156588.0544344804,271466.6291170738
2019-09-23,1162707.5018287539,271654.1562015374
2019-09-24,1120590.8486753902,269403.86130796827
2019-09-25,1127790.3035590262,271052.11775562365
2019-09-26,1087473.4797970266,269236.0929397604
2019-09-27,1051476.3426970264,267726.02702591784
2019-09-30,1057235.9477993895,269048.56585529674
2019-10-01,1038877.3996392989,265811.2989887588
